original_url,extracted_url,created_date,closing_date,optional_field,timestamp
https://ksiem.sectica.com/tickets/CSOC-OPAY2023060600A,"Name: opay loan app
Url: https://www.facebook.com/groups/1171525737061197",06/06/23 12:06,13/06/23 14:11,,2025-06-26 01:07:43
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606009,"Name: -opay customer service
Url:https://www.facebook.com/groups/562862589067753",06/06/23 12:04,13/06/23 14:11,,2025-06-26 01:08:01
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606008,"Name: opay customer care
Url: https://www.facebook.com/groups/562862589067753",06/06/23 12:01,13/06/23 14:12,,2025-06-26 01:08:18
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606007,"Name: opay nigeria pos
Url:https://www.facebook.com/groups/724119432125906",06/06/23 12:00,30/06/23 09:50,,2025-06-26 01:08:35
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606006,"Name: - opay Pos
Url: https://www.facebook.com/groups/271218314964650",06/06/23 11:57,13/06/23 14:12,,2025-06-26 01:08:55
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606005,"Name: Opay customer care
Url:https://www.facebook.com/groups/529984342586219",06/06/23 11:56,13/06/23 14:21,,2025-06-26 01:09:14
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606004,"Name: Opay investment group
URL:https://www.facebook.com/groups/262003685870700",06/06/23 11:53,13/06/23 14:21,,2025-06-26 01:09:32
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606003,"Name: Opay Bank
Url: https://www.facebook.com/groups/907559593949156",06/06/23 11:49,13/06/23 14:21,,2025-06-26 01:09:49
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606002,"Name OPAY Update
Urlhttps://www.facebook.com/groups/378082687374124",06/06/23 11:29,13/06/23 14:20,,2025-06-26 01:10:07
https://ksiem.sectica.com/tickets/CSOC-OPAY20230606001,"Name OPAY ACCOUNT OPENING
Url:https://www.facebook.com/groups/2389772364516203",06/06/23 11:11,13/06/23 14:04,,2025-06-26 01:10:31
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200H,,12/12/23 13:37,28/12/23 18:34,Closed,2025-06-26 01:10:48
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200G,,12/12/23 13:37,28/12/23 18:35,Closed,2025-06-26 01:11:05
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200F,,12/12/23 13:37,28/12/23 18:35,Closed,2025-06-26 01:11:22
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200E,,12/12/23 13:37,28/12/23 18:36,Closed,2025-06-26 01:11:39
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200D,,12/12/23 13:37,28/12/23 18:31,Closed,2025-06-26 01:11:57
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200C,,12/12/23 13:37,28/12/23 18:35,Closed,2025-06-26 01:12:14
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200B,,12/12/23 13:37,28/12/23 18:35,Closed,2025-06-26 01:12:32
https://ksiem.sectica.com/tickets/CSOC-OPAY2023121200A,,12/12/23 13:37,28/12/23 18:36,Closed,2025-06-26 01:12:49
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212009,,12/12/23 13:36,28/12/23 18:36,Closed,2025-06-26 01:13:07
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212008,,12/12/23 13:36,28/12/23 18:36,Closed,2025-06-26 01:13:27
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212007,,12/12/23 13:36,28/12/23 18:35,Closed,2025-06-26 01:13:45
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212006,,12/12/23 13:36,28/12/23 18:36,Closed,2025-06-26 01:14:03
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212005,,12/12/23 13:36,28/12/23 18:36,Closed,2025-06-26 01:14:21
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212004,,12/12/23 13:35,28/12/23 18:36,Closed,2025-06-26 01:14:39
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212003,,12/12/23 13:35,28/12/23 18:37,Closed,2025-06-26 01:14:57
https://ksiem.sectica.com/tickets/CSOC-OPAY20231212002,,12/12/23 13:26,28/12/23 18:32,Closed,2025-06-26 01:15:15
https://ksiem.sectica.com/tickets/CSOC-OPAY20230901001,,01/09/23 19:53,14/09/23 15:34,Closed,2025-06-26 01:15:33
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700U,,17/08/23 12:00,25/08/23 18:30,Closed,2025-06-26 01:15:50
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700T,,17/08/23 12:00,12/09/23 15:51,Closed,2025-06-26 01:16:10
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700S,,17/08/23 12:00,12/09/23 15:29,Closed,2025-06-26 01:16:30
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700R,,17/08/23 12:00,14/09/23 13:57,Closed,2025-06-26 01:16:48
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700N,,17/08/23 11:59,14/09/23 15:34,Closed,2025-06-26 01:17:05
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700M,,17/08/23 11:59,14/09/23 14:48,Closed,2025-06-26 01:17:23
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700L,,17/08/23 11:59,12/09/23 15:50,Closed,2025-06-26 01:17:40
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700K,,17/08/23 11:59,14/09/23 14:47,Closed,2025-06-26 01:17:57
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700J,,17/08/23 11:59,12/09/23 16:37,Closed,2025-06-26 01:18:14
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700I,,17/08/23 11:59,14/09/23 13:58,Closed,2025-06-26 01:18:31
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700H,,17/08/23 11:59,14/09/23 14:08,Closed,2025-06-26 01:18:49
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700G,,17/08/23 11:59,14/09/23 14:48,Closed,2025-06-26 01:19:08
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700F,,17/08/23 11:59,14/09/23 14:48,Closed,2025-06-26 01:19:25
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700E,,17/08/23 11:59,14/09/23 14:21,Closed,2025-06-26 01:19:42
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700D,,17/08/23 11:59,13/11/23 18:41,Closed,2025-06-26 01:19:58
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700C,,17/08/23 11:59,14/09/23 14:45,Closed,2025-06-26 01:20:16
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700B,"URL:https://www.instagram.com/opaynaija1?hl=en
NAME: opaynaija1",17/08/23 11:59,14/09/23 14:46,,2025-06-26 01:20:33
https://ksiem.sectica.com/tickets/CSOC-OPAY2023081700A,,17/08/23 11:59,14/09/23 13:59,Closed,2025-06-26 01:20:50
https://ksiem.sectica.com/tickets/CSOC-OPAY20230817009,,17/08/23 11:59,14/09/23 14:21,Closed,2025-06-26 01:21:07
https://ksiem.sectica.com/tickets/CSOC-OPAY20230817008,,17/08/23 11:58,14/09/23 14:00,Rejected,2025-06-26 01:21:24
https://ksiem.sectica.com/tickets/CSOC-OPAY20230817007,,17/08/23 11:58,14/09/23 13:59,Closed,2025-06-26 01:21:42
https://ksiem.sectica.com/tickets/CSOC-OPAY20230817006,,17/08/23 11:58,12/09/23 16:54,Closed,2025-06-26 01:22:00
https://ksiem.sectica.com/tickets/CSOC-OPAY20230817005,,17/08/23 11:58,12/09/23 16:34,Closed,2025-06-26 01:22:17
